osmid,unique_id,element_type,amenity,compressed_air,name,opening_hours,geometry_polygon,check_date,denomination,religion,access,capacity,fee,parking,toilets:disposal,wheelchair,barrier,bus,note,public_transport,cuisine,internet_access,addr:city,addr:housenumber,addr:street,phone,smoking,stars,wikidata,description,addr:district,addr:full,addr:province,addr:subdistrict,ele,isced:level,ref,source,brand,brand:wikidata,brand:wikipedia,drive_through,name:ja,operator,outdoor_seating,takeaway,contact:facebook,name:es,name:fr,addr:postcode,email,name:en,alt_name,level,website,indoor_seating,internet_access:fee,fax,url,studio,internet_access:ssid,fuel:octane_80,fuel:octane_91,atm,cash_in,addr:country,contact:phone,contact:website,social_facility,addr:housename,addr:block,addr:neighbourhood,addr:plot,fuel:diesel,currency:PEN,currency:USD,shop,automated,self_service,fuel:lpg,fuel:octane_84,fuel:octane_90,fuel:octane_94,name:ko,highway,cuisine:en,cuisine:es,diet:vegan,diet:vegetarian,name:de,contact:email,building:levels,delivery,backrest,short_name,bar,charge,addr:state,opening_hours:covid19,name:he,name:zh,air_conditioning,payment:cash,payment:credit_cards,man_made,name:nl,organic,old_name,ref:category,ref:microred,ref:red,contact:twitter,start_date,diet:gluten_free,diet:chicken,diet:fish,diet:healthy,diet:meat,diet:organic,diet:rice,diet:seafood,payment:american_express,payment:apple_pay,payment:coins,payment:contactless,payment:debit_cards,payment:diners_club,payment:discover_card,payment:mastercard,payment:visa,payment:visa_debit,toilets,tourism,description:en,material,seats,building,fixme,changing_table,supervised,toilets:access,toilets:paper_supplied,unisex,healthcare,female,male,toilets:position,check_date:opening_hours,post_box:type,cafe,int_name,internet_access:type,phone:PE,operator:type,bicycle_parking,school,dispensing,colour,operator:wikidata,addr:suburb,recycling:plastic_bottles,brewery,microbrewery,location,recycling_type,real_fire,street_vendor,highchair,parking:fee,social_facility:for,opening_hours:signed,object:city,object:street,covered,nodes,wikipedia,ele:source,height,emergency,nohousenumber,maxstay,government,office,shelter_type,place,roof:colour,healthcare:speciality,official_name,official_name:en,official_name:es,historic,roof:shape,smoothness,surface,layer,contact:pinterest,contact:youtube,full_name,orientation,ways,type,isPoint,geometry,gtransporte_osmid,gtransporte_dist
5581267172,node/5581267172,node,kindergarten,,Institución educativa inicial No. 1360,,POINT (-71.91889999999999 -13.5406),2023-07-22,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,San Sebastian,Calle Principal B S/n Mz E-1,Cusco,Virgen Del Carmen,3255,0,1744374,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.91889999999999 -13.5406),3241291966,0.0005581082063524689
5581267173,node/5581267173,node,kindergarten,,Institución educativa inicial San Fernando,,POINT (-71.9292997 -13.5405088),2023-07-17,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,Wanchaq,Calle Principal F-9,Cusco,La Florida,3362,0,0625525,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9292997 -13.5405088),4429072077,0.0008554649262236961
5581267174,node/5581267174,node,kindergarten,,Institución educativa inicial Jean Piaget,,POINT (-71.93259999999999 -13.5418),2023-07-12,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,San Sebastian,Calle Marcavalle S/n Mz F Lote O-6a,Cusco,Surihuaylla Grande,3270,0,1387042,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.93259999999999 -13.5418),1428480856,0.0006954729973247497
5581267175,node/5581267175,node,school,,Institución Educativa San Fernando,,POINT (-71.9292973 -13.5404804),,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,San Sebastian,Calle Principal F-9,Cusco,San Sebastian,3300,1;2,0934091;1386606,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9292973 -13.5404804),4429072077,0.0008271650379455817
5581267176,node/5581267176,node,school,,Institución Educativa Coronel Leoncio Prado,,POINT (-71.9350013 -13.5398443),,,,,,,,,,,,Ubicacion_web_med (local),,,,,,,,,,,,San Sebastian,Jiron Cahuide J-18,Cusco,San Sebastian,3300,1;2,1200120;1399476,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9350013 -13.5398443),30962463,0.0008259749935685449
5581267177,node/5581267177,node,kindergarten,,Institución educativa inicial Coronel Leoncio Prado,,POINT (-71.935 -13.5398),,,,,,,,,,,,Ubicacion_web_med (local),,,,,,,,,,,,San Sebastian,Jiron Cahuide J-18,Cusco,San Sebastian,3300,0,1200138,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.935 -13.5398),30962463,0.000867690203931081
5581267178,node/5581267178,node,kindergarten,,Institución educativa inicial Kukuli,,POINT (-71.9353 -13.5412),2023-07-12,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,San Sebastian,Los Nogales,Cusco,San Sebastian,3300,0,0928168,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9353 -13.5412),30962463,0.0005895814532363636
5581267179,node/5581267179,node,kindergarten,,Institución educativa inicial Virgencita De Guadalupe,,POINT (-71.91759999999999 -13.542),2023-04-12,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,San Sebastian,Vallecito-kispikilla-chakawayqo S/n,Cusco,San Sebastian,3300,0,1349810,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.91759999999999 -13.542),4616381608,0.00028756364513733284
5581271023,node/5581271023,node,school,,Institución Educativa No. 50043,,POINT (-71.9152 -13.5609),,,,,,,,,,,,Gps_otras_fuentes (local),,,,,,,,,,,,San Sebastian,Carretera Kirkas,Cusco,Kirkas,3357,1,0405274,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9152 -13.5609),6223484233,0.003365372676240935
5581271273,node/5581271273,node,school,,Institución Educativa Montessori Del Cusco,,POINT (-71.8827 -13.5702),,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,San Jeronimo,Ccolparo,Cusco,Collparo Pampa,3356,1;2,1387224;1536259,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.8827 -13.5702),588513205,0.015799314076882672
5581273466,node/5581273466,node,kindergarten,,Institución educativa inicial 50709 Conchacalla,,POINT (-71.8600993 -13.5989124),,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,San Jeronimo,Parque Conchacalla,Cusco,Conchacalla,3666,0,1468727,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.8600993 -13.5989124),6212958002,0.04012167754979832
5581273467,node/5581273467,node,school,,Institución Educativa No. 50709,,POINT (-71.8600993 -13.598887),,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,San Jeronimo,Parque Conchacalla,Cusco,Conchacalla,3666,1,0204875,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.8600993 -13.598887),6212958002,0.04009927034111691
5581273812,node/5581273812,node,school,,Institución Educativa No. 50814,,POINT (-71.8883 -13.5867),,,,,,,,,,,,Med_gps (local),,,,,,,,,,,,San Jeronimo,Suncco S/n,Cusco,Soncco Grande,3481,1,0206334,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.8883 -13.5867),588513205,0.0332078091011742
5581273813,node/5581273813,node,kindergarten,,Institución educativa inicial No. 50814,,POINT (-71.8882993 -13.5866883),,,,,,,,,,,,Med_gps (local),,,,,,,,,,,,San Jeronimo,Suncco S/n,Cusco,Soncco Grande,3481,0,1712686,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.8882993 -13.5866883),588513205,0.03319641859297491
5581275067,node/5581275067,node,school,,Institución Educativa No. 50905,,POINT (-71.86620000000001 -13.5525),,,,,,,,,,,,Med_gps (local),,,,,,,,,,,,San Jeronimo,Avenida Qollana Chahuan Qosqo S/n,Cusco,San Jeronimo,3194,1,0489245,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.86620000000001 -13.5525),3739432963,0.0009390297811998566
5581275068,node/5581275068,node,kindergarten,,Institución educativa inicial No. 215,,POINT (-71.86150000000001 -13.5526),,,,,,,,,,,,Ubicacion_web_med (local),,,,,,,,,,,,Saylla,Angostura,Cusco,Hacienda Angostura,3182,0,0731216,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.86150000000001 -13.5526),4429072309,0.0006569109909256659
5581275069,node/5581275069,node,kindergarten,,Institución educativa inicial No. 1275,,POINT (-71.86750000000001 -13.544),,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,San Jeronimo,San Jeronimo,Cusco,San Jeronimo,3243,0,1681832,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.86750000000001 -13.544),4429072276,0.0043491606960427915
5581275070,node/5581275070,node,kindergarten,,Institución educativa inicial No. 1229,,POINT (-71.8661987 -13.5524857),,,,,,,,,,,,Med_gps (local),,,,,,,,,,,,San Jeronimo,Avenida Qollana Chahuan Qosqo S/n,Cusco,San Jeronimo,3194,0,1644046,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.8661987 -13.5524857),3739432963,0.0009386584096439351
5581275071,node/5581275071,node,school,,Institución Educativa No. 50815,,POINT (-71.86020000000001 -13.5528),,,,,,,,,,,,Med_gps (local),,,,,,,,,,,,Saylla,Angostura,Cusco,Saylla,3182,1,0472829,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.86020000000001 -13.5528),4429072310,0.0006184876150739765
5581279612,node/5581279612,node,school,,Institución Educativa No. 50036,,POINT (-71.82729999999999 -13.5693),,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,Saylla,Calle Huascar S/n,Cusco,Saylla,3152,1,0405209,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.82729999999999 -13.5693),798886359,0.0014055431725899647
5581279613,node/5581279613,node,school,,Institución Educativa Antonio Raymondi,,POINT (-71.82769999999999 -13.5691),,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,Saylla,Avenida Huascar S/n,Cusco,Saylla,3152,2,0621300,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.82769999999999 -13.5691),10938632423,0.0012635875632501013
5581279615,node/5581279615,node,kindergarten,,Institución educativa inicial 443 Niño Jesus,,POINT (-71.8266 -13.57),,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,Saylla,Avenida Huascar S/n,Cusco,Saylla,3152,0,0565416,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.8266 -13.57),798886356,0.001322747239651293
5581284688,node/5581284688,node,school,,Institución Educativa No. 50951,,POINT (-71.85039999999999 -13.5126),,,,,,,,,,,,Med_gps (local),,,,,,,,,,,,San Jeronimo,Carretera Huaccoto S/n,Cusco,Huaccoto,4037,1,0591966,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.85039999999999 -13.5126),4429072276,0.03937694603140777
5583157771,node/5583157771,node,school,,Institución Educativa 501358 Salkantay,,POINT (-71.9931 -13.4754),,,,,,,,,,,,Med_gps (local),,,,,,,,,,,,Cusco,Salkantay Sector Fortaleza,Cusco,Salcantay,3958,1,1201607,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9931 -13.4754),6381065100,0.025872828307123293
5583159991,node/5583159991,node,school,,Institución Educativa No. 50040,,POINT (-71.92728990000001 -13.4597052),,,,,,,,,,,,Med_gps (local),,,,,,,,,,,,Cusco,Carretera Huillcapata,Cusco,Huillcarpata,3614,1,0818153,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.92728990000001 -13.4597052),30966211,0.03249524731064595
5583159994,node/5583159994,node,kindergarten,,Institución educativa inicial No. 1124,,POINT (-71.9272685 -13.4596654),,,,,,,,,,,,Med_gps (local),,,,,,,,,,,,Cusco,Carretera Huillcapata,Cusco,Huillcarpata,3614,0,1615111,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9272685 -13.4596654),30966211,0.032540004644442726
5583160075,node/5583160075,node,school,,Institución Educativa No. 501342,,POINT (-71.9402 -13.4688),,,,,,,,,,,,Med_gps (local),,,,,,,,,,,,Cusco,Ccorimarca,Cusco,Qorimarca,3678,1,1060722,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9402 -13.4688),30966211,0.018244294778643474
5583160558,node/5583160558,node,kindergarten,,Institución educativa inicial No. 469,,POINT (-71.9217 -13.4803),,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,San Sebastian,Ccorao S/n,Cusco,Corao,3596,0,0500264,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.9217 -13.4803),30966211,0.025410131679514038
5583160750,node/5583160750,node,kindergarten,,Institución educativa inicial No. 50044,,POINT (-71.94589929999999 -13.4890844),,,,,,,,,,,,Gps_otras_fuentes (local),,,,,,,,,,,,San Sebastian,Yuncaypata,Cusco,Yuncaypata,3718,0,1432111,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.94589929999999 -13.4890844),30966211,0.0032072509630536477
5583160751,node/5583160751,node,school,,Institución Educativa No. 50044,,POINT (-71.94589999999999 -13.4891072),,,,,,,,,,,,Gps_otras_fuentes (local),,,,,,,,,,,,San Sebastian,Yuncaypata,Cusco,Yuncaypata,3718,1,0405282,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-71.94589999999999 -13.4891072),30966211,0.003229553103760206
5583162372,node/5583162372,node,kindergarten,,Institución educativa inicial 438 Cruz Verde,,POINT (-72.009 -13.5065),,,,,,,,,,,,Med_gps (local),,,,,,,,,,,,Poroy,Quehuepay S/n,Cusco,Quehuepay / Cruz Verde,3645,0,1061761,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-72.009 -13.5065),6202234423,0.0014227188232396578
5583162373,node/5583162373,node,kindergarten,,Institución educativa inicial No. 1361,,POINT (-72.0115 -13.5078),,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,Poroy,Tiwinza S/n,Cusco,Poroy,3493,0,1744382,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-72.0115 -13.5078),6189180007,0.0007159114819613175
5583162374,node/5583162374,node,school,,Institución Educativa No. 501222,,POINT (-72.0185335 -13.5019957),,,,,,,,,,,,Ubicacion_web_med (local),,,,,,,,,,,,Poroy,Chinchaysuyo,Cusco,Huarahuaylla,3612,1;2,0732834;1718618,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-72.0185335 -13.5019957),588518635,0.0010425176497388191
5583162375,node/5583162375,node,kindergarten,,Institución educativa inicial No. 984,,POINT (-72.0232269 -13.5033058),,,,,,,,,,,,Ubicacion_web (local),,,,,,,,,,,,Poroy,Chinchaysuyo Comunidad Campesina,Cusco,Chinchaysuyo,3612,0,1615368,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-72.0232269 -13.5033058),588518565,0.002436353315922137
5583162376,node/5583162376,node,kindergarten,,Institución educativa inicial No. 501260,,POINT (-72.0077241 -13.4995443),,,,,,,,,,,,Ubicacion_web_med (local),,,,,,,,,,,,Poroy,Carretera Sencca Quispihuara S/n,Cusco,Sencca Quispihura,3723,0,1712702,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-72.0077241 -13.4995443),966441279,0.00039567992115037334
5583162377,node/5583162377,node,school,,Institución Educativa No. 501260,,POINT (-72.0077094 -13.4997804),,,,,,,,,,,,Ubicacion_web_med (local),,,,,,,,,,,,Poroy,Carretera Sencca Quispihuara S/n,Cusco,Sencca Quispihura,3723,1,0928762,minedu.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubicar el POI en el lugar que corresponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,POINT (-72.0077094 -13.4997804),4432790733,0.0003531116112509302
